"SYMBOL","GENE_NAME","MODULE","PROBEID","ENTREZ"
"","","M2.1","ILMN_1823533",""
"","","M7.2","ILMN_1824666",""
"","interferon-induced protein 44-like","M1.2","ILMN_1835092","10964"
"","","M5.12","ILMN_1845037",""
"","","M1.2","ILMN_1848843",""
"","","M7.2","ILMN_1851356",""
"","","M3.4","ILMN_1859584",""
"","","M9.4","ILMN_1860789",""
"","","M4.11","ILMN_1873838",""
"","","M5.12","ILMN_1894821",""
"","","","ILMN_1909073",""
"","","M3.4","ILMN_1910908",""
"4-Sep","septin 4","M3.4","ILMN_1776157","5414"
"ABCA1","ATP-binding cassette, sub-family A (ABC1), member 1","M5.12","ILMN_1766054","19"
"ABCB9","ATP-binding cassette, sub-family B (MDR/TAP), member 9","M7.7","ILMN_2343047","23457"
"ABCB9","ATP-binding cassette, sub-family B (MDR/TAP), member 9","","ILMN_2343048","23457"
"ABI2","abl-interactor 2","M7.24","ILMN_1724497","10152"
"ACOT9","acyl-CoA thioesterase 9","M8.2","ILMN_1658995","23597"
"ACOT9","acyl-CoA thioesterase 9","","ILMN_2367070","23597"
"ADAR","adenosine deaminase, RNA-specific","M5.12","ILMN_1776777","103"
"ADAR","adenosine deaminase, RNA-specific","","ILMN_2320964","103"
"ADCY3","adenylate cyclase 3","M7.29","ILMN_1676893","109"
"ADORA2A","adenosine A2a receptor","M7.3","ILMN_1807372","135"
"AKIRIN2","akirin 2","M4.6","ILMN_2148847","55122"
"ANKFY1","ankyrin repeat and FYVE domain containing 1","M7.21","ILMN_1794470","51479"
"ANKRD22","ankyrin repeat domain 22","M7.35","ILMN_1799848","118932"
"APOL2","apolipoprotein L, 2","","ILMN_2325337","23780"
"ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1","M4.13","ILMN_1690963","50807"
"ASPM","asp (abnormal spindle) homolog, microcephaly associated (Drosophila)","M3.3","ILMN_1815184","259266"
"ASPRV1","aspartic peptidase, retroviral-like 1","M5.12","ILMN_1762284","151516"
"AURKA","aurora kinase A","M3.3","ILMN_1680955","6790"
"AXUD1","cysteine-serine-rich nuclear protein 1","M4.6","ILMN_1703123","64651"
"BAMBI","BMP and activin membrane-bound inhibitor","M7.16","ILMN_1691410","25805"
"BARD1","BRCA1 associated RING domain 1","M9.1","ILMN_2074258","580"
"BATF2","basic leucine zipper transcription factor, ATF-like 2","M1.2","ILMN_1690241","116071"
"BNIP2","BCL2/adenovirus E1B 19kDa interacting protein 2","M5.1","ILMN_1770803","663"
"BRD7","bromodomain containing 7","M6.5","ILMN_1696420","29117"
"BST2","bone marrow stromal cell antigen 2","M5.12","ILMN_1723480","684"
"BTN3A1","butyrophilin, subfamily 3, member A1","M5.12","ILMN_1802708","11119"
"C15orf48","chromosome 15 open reading frame 48","M9.34","ILMN_1805410","84419"
"C16orf61","C-x(9)-C motif containing 2","M8.13","ILMN_1783333","56942"
"C16orf75","RecQ mediated genome instability 2","M8.95","ILMN_1790537","116028"
"C18orf25","chromosome 18 open reading frame 25","M6.3","ILMN_1801822","147339"
"C19orf66","chromosome 19 open reading frame 66","M8.38","ILMN_1750400","55337"
"C1GALT1C1","C1GALT1-specific chaperone 1","","ILMN_2401730","29071"
"C1orf218","DENN/MADD domain containing 1B","M7.21","ILMN_1789436","163486"
"C1orf97","long intergenic non-protein coding RNA 467","M9.46","ILMN_1808769","84791"
"C9orf89","chromosome 9 open reading frame 89","M5.1","ILMN_1659189","84270"
"C9orf91","chromosome 9 open reading frame 91","M9.6","ILMN_1803652","203197"
"CARD17","caspase recruitment domain family, member 17","M3.4","ILMN_1707979","440068"
"CAV1","caveolin 1, caveolae protein, 22kDa","","ILMN_2149226","857"
"CCL2","chemokine (C-C motif) ligand 2","M9.23","ILMN_1720048","6347"
"CCNA2","cyclin A2","M3.3","ILMN_1786125","890"
"CCNB2","cyclin B2","M3.3","ILMN_1801939","9133"
"CCR1","chemokine (C-C motif) receptor 1","M5.1","ILMN_1678833","1230"
"CD38","CD38 molecule","M4.11","ILMN_2233783","952"
"CDC20","cell division cycle 20","M3.3","ILMN_1663390","991"
"CDCA5","cell division cycle associated 5","M3.3","ILMN_1683450","113130"
"CEACAM1","carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)","M3.4","ILMN_1664330","634"
"CEACAM1","carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)","M3.4","ILMN_1716815","634"
"CEACAM1","carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)","","ILMN_2371724","634"
"CENPM","centromere protein M","M3.3","ILMN_2368718","79019"
"CHMP5","charged multivesicular body protein 5","M5.12","ILMN_1732534","51510"
"CHMP5","charged multivesicular body protein 5","","ILMN_3251545","51510"
"CKAP4","cytoskeleton-associated protein 4","M3.2","ILMN_1790891","10970"
"CMPK2","cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial","M1.2","ILMN_1783621","129607"
"CPEB3","cytoplasmic polyadenylation element binding protein 3","M7.15","ILMN_1755954","22849"
"CPT1B","carnitine palmitoyltransferase 1B (muscle)","M5.12","ILMN_1791754","1375"
"CREB3L2","cAMP responsive element binding protein 3-like 2","M7.19","ILMN_1751097","64764"
"CRKRS","cyclin-dependent kinase 12","M8.19","ILMN_1707448","51755"
"DAB2","Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)","M1.1","ILMN_1764228","1601"
"DDAH2","dimethylarginine dimethylaminohydrolase 2","M4.6","ILMN_1770787","23564"
"DDIT3","DNA-damage-inducible transcript 3","M7.15","ILMN_1676984","1649"
"DDX58","DEAD (Asp-Glu-Ala-Asp) box polypeptide 58","M3.4","ILMN_1797001","23586"
"DDX60","DEAD (Asp-Glu-Ala-Asp) box polypeptide 60","M1.2","ILMN_1795181","55601"
"DDX60L","DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like","","ILMN_3243928","91351"
"DENND5B","DENN/MADD domain containing 5B","M7.32","ILMN_1791593","160518"
"DHRS9","dehydrogenase/reductase (SDR family) member 9","","ILMN_2384181","10170"
"DHX58","DEXH (Asp-Glu-X-His) box polypeptide 58","M3.4","ILMN_1678422","79132"
"DISC1","disrupted in schizophrenia 1","M7.16","ILMN_1676632","27185"
"DKFZp761E198","adaptor-related protein complex 5, beta 1 subunit","M8.2","ILMN_1717594","91056"
"DLGAP5","discs, large (Drosophila) homolog-associated protein 5","M3.3","ILMN_1749829","9787"
"DRAP1","DR1-associated protein 1 (negative cofactor 2 alpha)","M5.12","ILMN_2112301","10589"
"EGR1","early growth response 1","M7.21","ILMN_1762899","1958"
"EHD4","EH-domain containing 4","M7.3","ILMN_1720083","30844"
"EIF2AK2","eukaryotic translation initiation factor 2-alpha kinase 2","M3.4","ILMN_1706502","5610"
"ELL2","elongation factor, RNA polymerase II, 2","M3.3","ILMN_1655930","22936"
"EMP1","epithelial membrane protein 1","M5.6","ILMN_1801616","2012"
"EPSTI1","epithelial stromal interaction 1 (breast)","M1.2","ILMN_2388547","94240"
"FABP5","fatty acid binding protein 5 (psoriasis-associated)","","ILMN_2146761","2171"
"FAM100B","UBA-like domain containing 2","M8.60","ILMN_1775498","283991"
"FAM46A","family with sequence similarity 46, member A","M9.23","ILMN_1740466","55603"
"FBXL5","F-box and leucine-rich repeat protein 5","M4.6","ILMN_1673370","26234"
"FBXO6","F-box protein 6","M3.4","ILMN_1701455","26270"
"FCRL5","Fc receptor-like 5","M4.10","ILMN_1684445","83416"
"FCRL5","Fc receptor-like 5","","ILMN_2105223","83416"
"FEN1","flap structure-specific endonuclease 1","","ILMN_2160929","2237"
"FIG4","FIG4 homolog, SAC1 lipid phosphatase domain containing (S. cerevisiae)","M8.45","ILMN_1800889","9896"
